col0	No	種類	地域	市区町村コード	都道府県名	市区町村名	地区名	最寄駅：名称	最寄駅：距離（分）	取引価格（総額）	坪単価	間取り	面積（㎡）	取引価格（㎡単価）	土地の形状	間口	延床面積（㎡）	建築年	建物の構造	用途	今後の利用目的	前面道路：方位	前面道路：種類	前面道路：幅員（ｍ）	都市計画	建ぺい率（％）	容積率（％）	取引時点	改装	取引の事情等
3761	3762	宅地(土地)	住宅地	13111	東京都	大田区	新蒲田	蒲田	9	47000000	1400000.0		110	430000.0	長方形	9.0					その他	西	私道	4.0	第２種住居地域	60.0	300.0	2021年第４四半期		
3781	3782	宅地(土地)	住宅地	13113	東京都	渋谷区	西原	幡ケ谷	6	250000000	3900000.0		220	1200000.0	不整形	12.0					住宅	南東	区道	4.4	第１種低層住居専用地域	60.0	150.0	2021年第３四半期		
3786	3787	宅地(土地)	住宅地	13113	東京都	渋谷区	幡ケ谷	幡ケ谷	11	62000000	2900000.0		70	870000.0	ほぼ長方形	5.5					住宅	北東	私道	3.0	第１種住居地域	60.0	300.0	2021年第３四半期		
3796	3797	宅地(土地)	商業地	13111	東京都	大田区	千鳥	千鳥町	1	120000000	2600000.0		155	780000.0	ほぼ台形	6.2					住宅	北	区道	8.3	近隣商業地域	80.0	300.0	2021年第３四半期		
3800	3801	宅地(土地)	住宅地	13111	東京都	大田区	千鳥	武蔵新田	3	63000000	2200000.0		95	670000.0	ほぼ長方形	9.1					住宅	西	区道	4.0	第１種住居地域	60.0	200.0	2021年第３四半期		
3801	3802	宅地(土地)	住宅地	13111	東京都	大田区	中央	池上	15	16000000	680000.0		80	210000.0	袋地等						住宅	南西	私道	4.0	第１種低層住居専用地域	50.0	100.0	2021年第４四半期		
3806	3807	宅地(土地)	住宅地	13111	東京都	大田区	中央	大森町	16	40000000	2300000.0		60	690000.0	ほぼ整形	4.0					住宅	北西	私道	3.0	準工業地域	60.0	200.0	2021年第４四半期		私道を含む取引
3807	3808	宅地(土地)	住宅地	13111	東京都	大田区	中央	大森町	18	13000000	850000.0		50	260000.0	ほぼ長方形	5.4						南	区道	4.6	準工業地域	60.0	200.0	2021年第３四半期		
3808	3809	宅地(土地)	住宅地	13111	東京都	大田区	中央	蒲田	15	16000000	1100000.0		50	330000.0	ほぼ長方形	5.0					住宅	西	私道	4.0	第１種住居地域	60.0	200.0	2021年第３四半期		
3810	3811	宅地(土地)	住宅地	13111	東京都	大田区	中央	西馬込	14	170000000	1300000.0		420	400000.0	長方形	15.5					住宅	北	区道	5.4	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
